date_time,heart_zone_id,total_minutes
2023-03-14T14:26,FAT_BURN,1
2023-03-14T14:28,FAT_BURN,1
2023-03-14T14:29,FAT_BURN,1
2023-03-14T14:33,FAT_BURN,1
2023-03-14T14:34,FAT_BURN,1
2023-03-14T14:35,FAT_BURN,1
2023-03-14T14:36,FAT_BURN,1
2023-03-14T14:37,FAT_BURN,1
2023-03-14T14:38,FAT_BURN,1
2023-03-14T14:39,FAT_BURN,1
2023-03-14T14:41,FAT_BURN,1
2023-03-14T14:42,FAT_BURN,1
2023-03-14T14:43,FAT_BURN,1
2023-03-14T14:44,FAT_BURN,1
2023-03-14T14:45,FAT_BURN,1
2023-03-14T14:46,FAT_BURN,1
2023-03-14T14:47,FAT_BURN,1
2023-03-14T14:48,FAT_BURN,1
2023-03-14T16:19,FAT_BURN,1
2023-03-14T16:20,FAT_BURN,1
2023-03-14T16:21,FAT_BURN,1
2023-03-14T16:22,FAT_BURN,1
2023-03-14T16:23,FAT_BURN,1
2023-03-14T16:24,FAT_BURN,1
2023-03-14T16:25,FAT_BURN,1
2023-03-14T16:26,FAT_BURN,1
2023-03-14T16:27,FAT_BURN,1
2023-03-14T16:28,FAT_BURN,1
2023-03-14T16:29,FAT_BURN,1
2023-03-14T16:30,FAT_BURN,1
2023-03-14T16:31,FAT_BURN,1
2023-03-14T16:32,FAT_BURN,1
2023-03-14T16:33,FAT_BURN,1
2023-03-14T16:44,FAT_BURN,1
2023-03-14T16:45,FAT_BURN,1
2023-03-14T16:46,FAT_BURN,1
2023-03-14T20:55,FAT_BURN,1
2023-03-14T21:08,FAT_BURN,1
2023-03-14T21:12,FAT_BURN,1
2023-03-14T21:13,FAT_BURN,1
2023-03-14T21:28,FAT_BURN,1
2023-03-14T21:44,FAT_BURN,1
2023-03-14T21:45,FAT_BURN,1
2023-03-14T22:06,FAT_BURN,1
2023-03-14T22:07,FAT_BURN,1
2023-03-14T22:08,FAT_BURN,1
2023-03-14T22:09,FAT_BURN,1
2023-03-14T22:20,FAT_BURN,1
2023-03-14T22:21,FAT_BURN,1
2023-03-14T22:22,FAT_BURN,1
2023-03-14T22:23,FAT_BURN,1
2023-03-14T22:24,FAT_BURN,1
2023-03-14T22:25,FAT_BURN,1
2023-03-14T22:27,FAT_BURN,1
2023-03-14T22:28,FAT_BURN,1
2023-03-14T22:29,FAT_BURN,1
2023-03-14T22:30,FAT_BURN,1
2023-03-14T22:31,FAT_BURN,1
2023-03-14T22:32,FAT_BURN,1
2023-03-14T22:40,FAT_BURN,1
2023-03-14T22:41,FAT_BURN,1
2023-03-14T22:42,FAT_BURN,1
2023-03-14T22:43,FAT_BURN,1
2023-03-14T22:47,FAT_BURN,1
2023-03-16T15:23,FAT_BURN,1
2023-03-16T15:26,FAT_BURN,1
2023-03-16T15:27,FAT_BURN,1
2023-03-16T15:28,FAT_BURN,1
2023-03-16T15:29,FAT_BURN,1
2023-03-16T15:30,FAT_BURN,1
2023-03-16T15:32,FAT_BURN,1
2023-03-16T16:56,FAT_BURN,1
2023-03-16T16:57,FAT_BURN,1
2023-03-16T17:00,FAT_BURN,1
2023-03-16T17:01,FAT_BURN,1
2023-03-16T17:02,FAT_BURN,1
2023-03-16T17:03,FAT_BURN,1
2023-03-16T18:20,FAT_BURN,1
2023-03-16T18:21,FAT_BURN,1
2023-03-16T18:22,FAT_BURN,1
2023-03-16T18:23,FAT_BURN,1
2023-03-16T18:39,FAT_BURN,1
2023-03-16T18:40,FAT_BURN,1
